word,count
wohnung,8031
wissenschaft,7988
erfahrung,7977
jahrhundert,7939
zustand,7935
lehrer,7931
hieß,7911
erklärte,7894
heißen,7867
neüs,7844
haupt,7817
anzahl,7815
sieben,7809
größe,7789
jahrhunderts,7749
fehlt,7729
geführt,7719
blätter,7699
gesetz,7699
entwicklung,7684
französischen,7684
tiefer,7684
allmählich,7680
ähnlich,7671
einfluß,7604
geschah,7597
zieht,7514
linie,7503
weitere,7472
setzt,7466
bäume,7447
pflicht,7442
spät,7421
arzt,7412
lebt,7407
keinem,7395
schaffen,7395
eher,7367
erster,7341
vollständig,7307
aufgabe,7305
neu,7266
lehre,7260
fahren,7235
vorstellung,7233
außerdem,7223
gelegt,7219
schwarze,7194
lebte,7183
dritten,7175
häuser,7171
erschienen,7164
möglichkeit,7159
nennt,7132
ansicht,7127
besuch,7087
königs,7081
preis,7061
saßen,7034
mußt,7025
gestellt,7015
straßen,7011
sieh,7003
braucht,6985
öffnete,6974
opfer,6966
breite,6953
arbeiter,6912
blieben,6897
erreichen,6891
künstler,6879
stellt,6834
trieb,6829
hindurch,6826
bestimmten,6815
erfolg,6786
nötig,6773
erklären,6751
folgende,6740
worauf,6736
einiger,6700
grünen,6694
enthält,6688
gehe,6688
kurze,6673
darstellung,6669
gaben,6666
teils,6664
möge,6656
stimmen,6652
geb,6626
teile,6626
herein,6618
königin,6616
erklärt,6594
geschieht,6571
fühlen,6569
sag,6565
vermögen,6559
bestehen,6540
ungefähr,6527
ohr,6523
besitz,6518
letztere,6518
größere,6512
befehl,6509
stieß,6505
erwarten,6500
bekannten,6485
stimmung,6458
höher,6457
hinüber,6441
drückte,6415
heut,6411
glaubt,6403
sucht,6396
keineswegs,6394
schlafen,6384
verließ,6379
gestalten,6359
sicherheit,6346
größte,6330
versuch,6330
siehe,6319
entfernung,6301
scheinen,6295
vorwärts,6278
aufmerksamkeit,6251
früheren,6249
ansehen,6248
müde,6238
küste,6234
gebiet,6233
erkannte,6223
gehören,6218
wollt,6218
verhältnis,6209
enthalten,6207
erfüllt,6182
gerne,6182
nahmen,6171
starb,6155
gleiche,6133
gleichfalls,6118
höchste,6082
weiten,6054
druck,6041
bücher,6038
bezeichnet,6024
lächelnd,6010
besitzen,6009
betrachtet,6008
beschäftigt,5999
pfarrer,5997
gleichzeitig,5993
blaün,5983
einheit,5963
wünsche,5946
sitzt,5943
ecke,5902
folgt,5877
engländer,5870
flüsterte,5856
bestimmte,5839
kreise,5834
füße,5821
herrschaft,5815
halbe,5790
übel,5789
drüben,5788
hierher,5778
größer,5773
siehst,5770
versteht,5761
dritte,5756
erscheinungen,5754
besitzt,5742
englische,5737
leichter,5734
kehrte,5719
liebte,5714
weite,5709
aufmerksam,5708
infolge,5706
gebrauch,5705
legt,5697
gänzlich,5681
führer,5668
besonderen,5664
nannte,5659
wünschen,5635
inzwischen,5633
versuchte,5633
erklärung,5626
laufen,5624
gesetze,5601
bevölkerung,5561
gleicher,5561
sagten,5555
brauchen,5553
überzeugt,5553
erhoben,5552
woche,5545
wirken,5542
aussicht,5530
umgebung,5530
bestimmung,5482
sollst,5440
zustande,5419
glanz,5405
letzteren,5361
wahre,5360
wodurch,5358
märz,5349
geschäft,5346
spielte,5341
zuvor,5335
halben,5332
dürfte,5317
schlagen,5311
geschickt,5306
länge,5291
höheren,5284
getragen,5280
faßte,5267
römischen,5266
betrachtete,5263
geschlossen,5259
tische,5254
voraus,5249
möglichst,5241
soweit,5236
empfangen,5223
höre,5202
beginnt,5200
bürger,5181
gehörte,5176
gerichtet,5175
schreibt,5152
schwieg,5142
staaten,5140
bau,5134
befindet,5134
ergriff,5132
nickte,5131
stücke,5121
laßt,5103
gegensatz,5085
schluß,5085
kopfe,5064
hügel,5052
fehler,5047
woher,5037
freundschaft,5036
seitdem,5034
gegenstände,5032
gefühle,5027
vorstellungen,5025
richtete,5014
annehmen,5004
verschwunden,4991
leidenschaft,4990
schließen,4985
süden,4960
hierauf,4956
gewöhnlichen,4953
halte,4949
hauptsächlich,4944
deutscher,4943
reichte,4932
kreis,4929
männern,4927
wahren,4926
flügel,4896
vögel,4886
größeren,4882
versuche,4879
kapitän,4862
grün,4859
heutigen,4857
jäger,4854
gefahren,4845
französische,4844
bedeutet,4828
erzählung,4824
schlag,4823
zwecke,4819
versetzte,4815
jüngling,4808
inseln,4801
fehlte,4798
güte,4797
geschlagen,4792
befinden,4782
wahl,4781
lässt,4777
satz,4773
danke,4772
rufen,4766
empfand,4764
brauchte,4750
irgendwo,4750
punkte,4742
jahres,4740
erwähnt,4739
stürzte,4739
könige,4734
küche,4729
liebt,4717
zahlreichen,4711
erheben,4710
lösung,4700
vielfach,4700
gebiete,4687
usw,4687
versucht,4667
zusammenhang,4654
ankunft,4646
weiteren,4645
erkannt,4642
gründen,4641
seht,4638
verfahren,4612
landschaft,4600
sieg,4600
vieles,4566
bewohner,4555
aufgenommen,4554
erhält,4547
nächste,4545
mächtigen,4544
wesentlich,4540
fehlen,4534
bedarf,4529
könnt,4511
gelten,4495
mehreren,4495
sogenannten,4493
schüler,4487
bäumen,4454
umgeben,4451
hängen,4447
tätigkeit,4435
fügte,4426
laufe,4426
kloster,4422
außen,4421
haltung,4417
gesundheit,4393
erwartet,4389
aufenthalt,4387
nahrung,4387
zahlreiche,4385
geändert,4383
unterhaltung,4372
kurzer,4365
einfachen,4363
erfuhr,4338
behalten,4320
geschaffen,4320
jenseits,4306
besuchen,4302
empfindung,4298
gleichgültig,4298
drehte,4284
verzweiflung,4276
öffentlichen,4273
urteil,4269
fragt,4259
meint,4256
schlägt,4256
vorn,4244
einzig,4238
erziehung,4231
einfache,4227
früchte,4213
prinzessin,4213
wußten,4212
verhalten,4202
dunkeln,4184
schwert,4182
küßte,4179
linien,4178
reiter,4172
weisheit,4172
geschlecht,4171
sammlung,4162
ausführung,4160
gefangen,4160
angriff,4151
jemals,4151
gefaßt,4149
zweimal,4142
vorsichtig,4139
zweiter,4135
sichtbar,4133
zahlen,4129
daneben,4126
selbstverständlich,4109
unterscheiden,4108
kreuz,4105
rücksicht,4100
fürchten,4096
geworfen,4091
getrieben,4083
benutzt,4079
gebäude,4069
hinweg,4069
angenehm,4064
gegenteil,4063
bekannte,4062
wahrhaftig,4062
geburt,4061
außerordentlich,4060
entstehen,4052
gebraucht,4046
hauptstadt,4030
verhältnissen,4028
eigentliche,4023
körpers,4015
offizier,3999
zähne,3997
ähnliche,3992
verfasser,3984
herauf,3983
entschlossen,3976
auffassung,3955
ergeben,3950
hülfe,3940
großmutter,3939
erstaunen,3936
persönlichkeit,3934
griechen,3925
heiß,3924
äußerst,3923
begleitet,3922
thätigkeit,3921
russischen,3920
schob,3917
steckte,3915
schwierigkeiten,3910
griechischen,3907
zeitung,3907
wirklichen,3906
lehren,3900
eigentlichen,3892
stehenden,3892
frische,3891
einsamkeit,3875
ausnahme,3871
wohnen,3871
bezug,3868
behaupten,3867
äußeren,3858
spanien,3856
ergriffen,3853
einziges,3848
verstehe,3846
aussehen,3843
beständig,3838
erhebt,3832
entschluß,3830
umsonst,3829
hübsch,3828
gebaut,3819
kaufmann,3813
oberfläche,3791
vieler,3784
provinz,3772
teilen,3772
daselbst,3771
dazwischen,3771
fühle,3769
vergebens,3764
unterbrach,3763
spielt,3755
lauf,3748
nutzen,3747
wirkt,3747
gegenden,3743
ängstlich,3742
leichten,3742
frühling,3731
erstenmal,3729
pflegte,3722
mächtig,3719
rückkehr,3712
müßten,3704
folgten,3698
stehe,3697
beobachtet,3695
weiteres,3695
gesichter,3690
setzten,3689
gesang,3678
burg,3673
kurzem,3671
zufällig,3669
gemeinde,3663
fälle,3657
bedeutend,3656
häusern,3656
aufregung,3652
fürchtete,3650
aufnahme,3649
betrifft,3638
liefen,3638
fährt,3636
maß,3636
sitz,3636
verwendet,3632
wiesen,3632
späteren,3630
sonntag,3620
achtung,3618
blättern,3609
wirft,3607
nehme,3599
merkwürdig,3583
unternehmen,3581
gründe,3580
weit,3574
streckte,3573
gewaltigen,3569
bestimmen,3568
entdeckt,3558
kämpfen,3544
beamten,3543
zeigten,3539
offiziere,3538
gewöhnt,3534
fernen,3528
wirt,3525
lediglich,3523
schützen,3516
zuckte,3515
wirkliche,3511
bischof,3510
suchten,3506
hörten,3503
alsdann,3499
eintritt,3498
führten,3492
schaün,3490
erfahrungen,3489
